Container, 0, 0, 0, 3.50739, 3.50739, 0
Container, 0, MPI, 0, 3.50739, 3.50739, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 3.507385, 3.507385, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 3.50739, 3.50739, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-7, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
State, rank-7, MPI_STATE, 3.507385, 3.507385, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 3.50739, 3.50739, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-6, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
State, rank-6, MPI_STATE, 3.507385, 3.507385, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 3.50739, 3.50739, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-5, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
State, rank-5, MPI_STATE, 3.507385, 3.507385, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 3.50739, 3.50739, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-4, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
State, rank-4, MPI_STATE, 3.507385, 3.507385, 0.000000, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 3.50739, 3.50739, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-3, MPI_STATE, 0.000000, 3.507385, 3.507385, 0.000000, PMPI_Allreduce
