Container, 0, 0, 0, 64.1387, 64.1387, 0
Container, 0, MPI, 0, 64.1387, 64.1387, rank-98
State, rank-98, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-98, MPI_STATE, 0.000000, 31.952428, 31.952428, 0.000000, PMPI_Allreduce
State, rank-98, MPI_STATE, 31.952428, 64.138654, 32.186226, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-97
State, rank-97, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-97, MPI_STATE, 0.000000, 31.874495, 31.874495, 0.000000, PMPI_Allreduce
State, rank-97, MPI_STATE, 31.874495, 64.138654, 32.264159, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-96
State, rank-96, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-96, MPI_STATE, 0.000000, 31.796562, 31.796562, 0.000000, PMPI_Allreduce
State, rank-96, MPI_STATE, 31.796562, 64.138654, 32.342092, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-95
State, rank-95, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-95, MPI_STATE, 0.000000, 31.718630, 31.718630, 0.000000, PMPI_Allreduce
State, rank-95, MPI_STATE, 31.718630, 64.138654, 32.420024, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-94
State, rank-94, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-94, MPI_STATE, 0.000000, 31.640697, 31.640697, 0.000000, PMPI_Allreduce
State, rank-94, MPI_STATE, 31.640697, 64.138654, 32.497957, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-93
State, rank-93, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-93, MPI_STATE, 0.000000, 31.562764, 31.562764, 0.000000, PMPI_Allreduce
State, rank-93, MPI_STATE, 31.562764, 64.138654, 32.575890, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-92
State, rank-92, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-92, MPI_STATE, 0.000000, 31.484831, 31.484831, 0.000000, PMPI_Allreduce
State, rank-92, MPI_STATE, 31.484831, 64.138654, 32.653823, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-91
State, rank-91, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-91, MPI_STATE, 0.000000, 31.406899, 31.406899, 0.000000, PMPI_Allreduce
State, rank-91, MPI_STATE, 31.406899, 64.138654, 32.731755, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-90
State, rank-90, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-90, MPI_STATE, 0.000000, 31.328966, 31.328966, 0.000000, PMPI_Allreduce
State, rank-90, MPI_STATE, 31.328966, 64.138654, 32.809688, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-89
State, rank-89, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-89, MPI_STATE, 0.000000, 31.251033, 31.251033, 0.000000, PMPI_Allreduce
State, rank-89, MPI_STATE, 31.251033, 64.138654, 32.887621, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-8, MPI_STATE, 0.000000, 24.938480, 24.938480, 0.000000, PMPI_Allreduce
State, rank-8, MPI_STATE, 24.938480, 64.138654, 39.200174, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-88
State, rank-88, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
State, rank-88, MPI_STATE, 0.000000, 31.173100, 31.173100, 0.000000, PMPI_Allreduce
State, rank-88, MPI_STATE, 31.173100, 64.138654, 32.965554, 0.000000, PMPI_Finalize
Container, 0, MPI, 0, 64.1387, 64.1387, rank-87
State, rank-87, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
